File	Name	Col
01_A.npo	01_A	"#2d8632"
01_B.npo	01_B	"#4caf50"
01_C.npo	01_C	"#81c784"
02_A.npo	02_A	"#c62828"
02_B.npo	02_B	"#e53935"
02_C.npo	02_C	"#ef5350"
03_A.npo	03_A	"#1565c0"
03_B.npo	03_B	"#1e88e5"
03_C.npo	03_C	"#64b5f6"
04_A.npo	04_A	"#6a1b9a"
04_B.npo	04_B	"#8e24aa"
04_C.npo	04_C	"#ba68c8"
05_A.npo	05_A	"#e65100"
05_B.npo	05_B	"#fb8c00"
06_A.npo	06_A	"#00897b"
07_A.npo	07_A	"#f9a825"
07_B.npo	07_B	"#fdd835"
08_A.npo	08_A	"#ad1457"
08_B.npo	08_B	"#e91e63"
09_A.npo	09_A	"#6d4c41"
10_A.npo	10_A	"#37474f"
10_B.npo	10_B	"#607d8b"
